Name,Project,Type,Duration (in seconds),Pauses (in seconds),Duration (in minutes),Pauses (in minutes),
"Planning","Daily",partialFocus,81.3911521434784,0.0,1.3565192023913066,0.0,2025-02-28 23:52:05,2025-02-28 23:53:27,
"Crypto","Investing",partialFocus,1336.3301088809967,0.0,22.272168481349944,0.0,2025-02-28 23:29:39,2025-02-28 23:51:56,
"Inbox","Inbox",partialFocus,414.13431906700134,0.0,6.902238651116689,0.0,2025-02-28 23:21:26,2025-02-28 23:28:20,
"Study participation","CSAI",partialFocus,463.0459179878235,0.0,7.7174319664637245,0.0,2025-02-28 23:13:38,2025-02-28 23:21:21,
"Understanding Transformers","Learn_Coding",partialFocus,6310.0,0.0,105.16666666666667,0.0,2025-02-28 21:18:25,2025-02-28 23:03:35,
"Refine movement routine","Health",partialFocus,827.0,0.0,13.783333333333333,0.0,2025-02-28 21:01:27,2025-02-28 21:15:14,
"Understanding Transformers","Learn_Coding",partialFocus,5406.618226051331,0.0,90.11030376752218,0.0,2025-02-28 19:10:47,2025-02-28 20:40:53,
"Understanding Transformers","Learn_Coding",partialFocus,411.4821660518646,0.0,6.85803610086441,0.0,2025-02-28 16:54:20,2025-02-28 17:01:12,
"Understanding Transformers","Learn_Coding",fullFocus,2873.4106917381287,0.0,47.89017819563548,0.0,2025-02-28 16:01:32,2025-02-28 16:49:25,
"+k CS50 AI","Learn_Coding",partialFocus,1820.8287348747253,0.0,30.34714558124542,0.0,2025-02-28 15:21:27,2025-02-28 15:51:48,
"+k CS50 AI","Learn_Coding",partialFocus,3149.3604991436005,0.0,52.48934165239334,0.0,2025-02-28 14:20:26,2025-02-28 15:12:56,
"+k CS50 AI","Learn_Coding",partialFocus,335.3892660140991,0.0,5.589821100234985,0.0,2025-02-28 13:52:10,2025-02-28 13:57:45,
"LinkedIn","Distribution",partialFocus,948.1746611595154,0.0,15.802911019325256,0.0,2025-02-28 13:36:10,2025-02-28 13:51:58,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2560.752022743225,0.0,42.67920037905375,0.0,2025-02-28 12:53:24,2025-02-28 13:36:05,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,7172.280291080475,0.0,119.53800485134124,0.0,2025-02-28 10:31:13,2025-02-28 12:30:46,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,6556.139946937561,0.0,109.26899911562602,0.0,2025-02-28 08:34:00,2025-02-28 10:23:16,
"Planning","Daily",partialFocus,213.5416498184204,0.0,3.5590274969736737,0.0,2025-02-27 23:48:24,2025-02-27 23:51:58,
"Stocks","Investing",partialFocus,7171.216516971588,0.0,119.5202752828598,0.0,2025-02-27 21:48:36,2025-02-27 23:48:07,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,4180.000257015228,0.0,69.6666709502538,0.0,2025-02-27 20:32:55,2025-02-27 21:42:35,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,5854.080901145935,0.0,97.56801501909892,0.0,2025-02-27 18:41:16,2025-02-27 20:18:50,
"Inbox","Inbox",partialFocus,289.4092469215393,0.0,4.823487448692322,0.0,2025-02-27 15:31:13,2025-02-27 15:36:03,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2339.5745849609375,0.0,38.99290974934896,0.0,2025-02-27 14:46:33,2025-02-27 15:25:33,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,3291.428552865982,0.0,54.857142547766365,0.0,2025-02-27 13:42:17,2025-02-27 14:37:08,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,5035.854828834534,0.0,83.9309138139089,0.0,2025-02-27 12:05:32,2025-02-27 13:29:28,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2879.9025020599365,0.0,47.99837503433228,0.0,2025-02-27 11:08:34,2025-02-27 11:56:34,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",endEarly,2727.4662380218506,0.0,45.45777063369751,0.0,2025-02-27 10:14:42,2025-02-27 11:00:09,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2017.7907309532166,0.0,33.62984551588694,0.0,2025-02-27 09:29:33,2025-02-27 10:03:11,
"Other","Other",partialFocus,1447.538731098175,0.0,24.125645518302917,0.0,2025-02-27 09:05:12,2025-02-27 09:29:20,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,1871.0,0.0,31.183333333333334,0.0,2025-02-27 08:34:01,2025-02-27 09:05:12,
"Planning","Daily",partialFocus,228.1682848930359,0.0,3.8028047482172647,0.0,2025-02-26 23:51:57,2025-02-26 23:55:45,
"+k CS50 AI","Learn_Coding",fullFocus,5656.39336514473,0.0,94.27322275241217,0.0,2025-02-26 22:06:00,2025-02-26 23:40:16,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2606.878590106964,0.0,43.44797650178273,0.0,2025-02-26 21:22:27,2025-02-26 22:05:54,
"+k Research Workshop","CSAI",partialFocus,5025.0,0.0,83.75,0.0,2025-02-26 14:41:49,2025-02-26 16:05:34,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2019.3226540088654,0.0,33.65537756681442,0.0,2025-02-26 13:56:53,2025-02-26 14:30:33,
"+k CS50 AI","Learn_Coding",partialFocus,1028.0273649692535,0.0,17.133789416154226,0.0,2025-02-26 13:39:39,2025-02-26 13:56:47,
"+k CS50 AI","Learn_Coding",fullFocus,4963.843704938889,0.0,82.73072841564814,0.0,2025-02-26 12:04:49,2025-02-26 13:27:32,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,3679.915552139282,0.0,61.33192586898804,0.0,2025-02-26 10:46:17,2025-02-26 11:47:37,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,1325.163910150528,0.0,22.086065169175466,0.0,2025-02-26 10:19:09,2025-02-26 10:41:14,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,5623.556017160416,0.0,93.72593361934027,0.0,2025-02-26 08:33:45,2025-02-26 10:07:28,
"Planning","Daily",partialFocus,81.12566304206848,0.0,1.3520943840344748,0.0,2025-02-25 23:32:59,2025-02-25 23:34:20,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",endEarly,1969.44509100914,0.0,32.82408485015233,0.0,2025-02-25 22:59:37,2025-02-25 23:32:26,
"Stocks","Investing",partialFocus,1649.6072990894318,0.0,27.493454984823863,0.0,2025-02-25 22:10:03,2025-02-25 22:37:32,
"+k CS50 AI","Learn_Coding",partialFocus,4488.2813420295715,0.0,74.8046890338262,0.0,2025-02-25 20:55:06,2025-02-25 22:09:54,
"+k CS50 AI","Learn_Coding",partialFocus,2921.101082801819,0.0,48.68501804669698,0.0,2025-02-25 19:54:15,2025-02-25 20:42:56,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,1883.8500351905823,0.0,31.397500586509704,0.0,2025-02-25 19:22:43,2025-02-25 19:54:07,
"Inbox","Inbox",partialFocus,268.8579730987549,0.0,4.480966218312582,0.0,2025-02-25 19:18:09,2025-02-25 19:22:38,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,3595.9189400672913,0.0,59.93198233445485,0.0,2025-02-25 16:35:36,2025-02-25 17:35:32,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,1890.5086839199066,0.0,31.508478065331776,0.0,2025-02-25 15:58:02,2025-02-25 16:29:33,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,2026.0867779254913,0.0,33.768112965424855,0.0,2025-02-25 15:17:28,2025-02-25 15:51:14,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,660.9514899253845,0.0,11.015858165423076,0.0,2025-02-25 14:48:59,2025-02-25 15:00:00,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",fullFocus,2851.392079114914,0.0,47.5232013185819,0.0,2025-02-25 13:45:53,2025-02-25 14:33:24,
"}b Molecular Biology of the Cell - Bruce Alberts","Learn Biology",partialFocus,2079.082869052887,0.0,34.65138115088145,0.0,2025-02-25 13:04:17,2025-02-25 13:38:56,
